compound_stem,SMILES,u1,u2,u3
A00972910,Fc1ccc(CN2CCCC3(CCN(C3)C(=O)c3ccoc3)C2)cc1F,0.41363227,3.9875562,8.3065815
A00986521,CC(C)(C)CC(=O)N1CCC2(CC1)CC(CC(=O)Nc1cccnc1)c1ccccc1O2,2.4421215,3.9020557,9.457513
A00998833,CN(Cc1c(nc2ccc(Cl)cn12)C(=O)N1CCCCCCC1)C1CCOC1,-0.4143091,-0.58051133,2.001121
A01015400,CC(C)NC(=O)N1CCC(C1)c1nnc2ccc(cn12)C(=O)NCCc1ccncc1,0.8092724,3.1112168,5.8834987
A01020820,OC(C(=O)N\N=C\c1ccco1)c1ccccc1,-0.20610274,1.4611208,3.2863615
A01044225,CCN1C(=O)C(CC11CCN(CC1)c1ncccn1)c1ccccc1,-1.3572096,0.84629744,4.7735786
A01049363,CC1(CCS(=O)(=O)C1)NC(=O)c1cccc(c1)S(=O)(=O)N1CCCc2ccccc12,-0.35329154,2.4485738,4.59541
A01061495,Nc1nc(=O)c2ncn(C3C[C@H](O)[C@@H](CO)C3=C)c2[nH]1,-0.4802241,1.0700988,2.672197
A01068611,CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)c1nc(Cl)ccc1Cl,-0.8275892,2.0556126,6.336871
A01090193,CCn1cc2CN(CC3CCOCC3)CC(COC)c2n1,-0.4474753,-0.9673464,1.5418813
A01098288,CC(C)OC(=O)C1=C(C)NC(N)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1,-0.7580194,0.42385176,2.2125676
A01099624,O=C(Nc1ccccc1)C1CC(=O)N=C(N1)N1CCCCC1,0.7428277,1.6095498,4.992571
A01127541,CC1=C(CCN2CCN(C3CCCC3)C(CCO)C2)C(C)(C)CCC1,0.4791901,2.520183,4.6090035
A01133581,Fc1ccc(cc1)N1CC(CC1=O)C(=O)NCc1ccc2OCOc2c1,0.23453498,3.3625698,5.640245
A01138228,OC(=O)C1CCCCC1C(=O)Nc1nc(cs1)-c1cccs1,0.6359641,-0.15144561,3.3939776
A01144076,CC1CCCN(C1)S(=O)(=O)c1ccc(CN2C(=O)c3cccnc3C2=O)cc1,-1.1392138,1.3252541,4.297039
A01145011,OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O,-0.9807591,-2.0981221,1.4643185
A01158342,Fc1cccc(CN2CC3CN(Cc4cccs4)CC3C2)c1,0.7349832,3.2115405,5.768896
A01171495,OC(=O)CN1CC2CCC(C1)N2C(=O)c1ccco1,-0.6050392,-0.4792203,2.0747516
A01171587,Cc1ccc(cc1)S(=O)(=O)CC(N1CCCCC1)c1ccccc1,-0.7602393,2.67188,4.7654333
A01174717,CC(C)CCN1CCNC(=O)C1CC(=O)N(C)CCCN1CCOCC1,0.5108373,4.0146146,6.1021256
A01190969,COc1cccc(c1)N1CC(CC1=O)C(=O)Oc1ccc2ccccc2c1,-0.92629623,-0.505739,1.3805275
A01196956,CC(C)n1cnc2CCN(C(C(=O)Cc3ccncc3)c12)C(=O)c1cccnc1,1.1827874,3.2472098,6.787236
A01212670,COc1cccc(c1)C(=O)CC(C(O)=O)c1ccc(F)cc1,0.50629526,1.8195198,4.707456
A01221889,COc1cccc(c1)-n1nc(C(=O)N2CC(C)CC(C)C2)c2ccccc2c1=O,0.97170514,3.1834192,8.560358
A01254391,COc1cccc(c1)C(C)N(C)Cc1nc(COc2ccccc2)no1,-0.042714316,1.9405389,4.9739738
A01258864,[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)NC1CCSc2ccccc12,-0.8581375,-2.885388,0.8483238
A01265588,COc1ccc(NC(=O)c2cccc(c2)N2C(=O)NC3CC2(C)Oc2ccccc32)cc1,-0.39160797,-3.503469,0.14394565
A01286505,Cn1nc(cc1NC(=O)CC(CC(O)=O)c1ccccc1)C1CC1,0.17312995,-1.0061873,1.814411
