,compound_stem,u1,u2,u3
11280,K71103788_1,1.893491,8.488992,4.4069967
11281,K71103788_30,3.2100651,9.863536,3.6317875
11282,K71103788_3,0.34765714,5.752318,5.048609
11283,K71103788_10,0.4931703,5.488678,5.1630397
11284,K58262659_1,0.42226264,5.239489,5.7512693
11285,K58262659_30,1.613449,6.5349655,8.186814
11286,K58262659_3,-0.33854488,2.6385944,8.295553
11287,K58262659_10,1.3512621,6.4078264,6.9693174
11288,K54529596_1,0.38329726,5.6936827,5.1039443
11289,K54529596_30,0.79627556,6.4858875,4.7052174
11290,K54529596_3,-0.26930866,2.786079,7.9343243
11291,K54529596_10,0.74229276,6.4929695,4.802182
11292,M65265990_1,0.89390725,6.866953,4.614103
11293,M65265990_30,0.07045753,3.4112797,6.9181256
11294,M65265990_3,-0.32306325,2.4132395,8.409455
11295,M65265990_10,0.53460914,5.7352014,5.055697
11296,K27771035_1,0.17511965,4.0542316,5.6645956
11297,K27771035_30,3.086386,9.264669,3.3551266
11298,K27771035_3,0.55985737,4.7060046,4.8641434
11299,K27771035_10,0.5818546,4.780789,4.7023106
11300,A15909516_1,0.8047549,6.1726775,4.7602367
11301,A15909516_30,0.23132595,4.6632566,5.75262
11302,A15909516_3,-0.32957613,2.0300324,8.395336
11303,A15909516_10,-0.2966563,3.8160722,6.6307583
11304,K47631482_1,0.00030571528,3.7717066,7.122971
11305,K47631482_30,1.0555671,6.0305433,4.535201
11306,K47631482_3,-0.2735687,2.688538,8.106466
11307,K47631482_10,-0.13619132,2.9501238,7.3106365
11308,K59256312_1,0.33599246,5.238523,5.6861706
11309,K59256312_30,0.14789063,5.1654415,5.4653573
11310,K59256312_3,1.4675719,7.7831836,4.685915
11311,K59256312_10,0.6328603,6.0095463,4.9850836
11312,A22256192_1,0.27966908,4.62991,6.1340313
11313,A22256192_30,-0.26730648,2.6300826,8.222951
11314,A22256192_3,-0.31245297,1.7392979,9.042249
11315,A22256192_10,-0.051775247,3.602386,6.9164557
11316,K77771411_1,0.70438004,6.5633388,4.568584
11317,K77771411_30,0.6591247,6.23418,4.7368307
11318,K77771411_3,-0.14281523,3.8788261,6.8264856
11319,K77771411_10,0.6097142,6.2677574,4.8451247
11320,A01563671_1,-0.27695683,2.6689403,7.942194
11321,A01563671_30,-0.34437877,2.520422,8.311146
11322,A01563671_3,0.5547759,5.9354815,5.0387573
11323,A01563671_10,-0.1941072,3.3766263,7.395967
11324,K28143534_1,0.9952079,6.491989,4.528121
11325,K28143534_30,-0.36177406,3.1319876,7.018419
11326,K28143534_3,-0.45373192,2.0203848,8.57052
11327,K28143534_10,0.48070693,5.4478617,5.4390097
11328,K35687421_1,-0.51158905,3.414238,6.97715
11329,K35687421_30,-0.14880796,4.705025,5.2253585
11330,K35687421_3,-0.16825354,4.242383,5.602101
11331,K35687421_10,0.4478243,5.487543,5.075298
11332,A48261811_1,0.15657084,5.27514,5.2513814
11333,A48261811_30,-0.00019942122,4.810848,5.3329654
11334,A48261811_3,0.0738708,4.966808,5.2430544
11335,A48261811_10,0.040274855,4.58751,5.49492
11336,K10784860_1,0.65238094,6.566131,4.5853105
11337,K10784860_30,0.71121776,6.598265,4.7502694
11338,K10784860_3,0.8193069,6.7066164,4.444845
11339,K10784860_10,0.65536606,6.162935,4.7870584
11340,A51382177_1,0.103460215,4.3175244,6.5464606
11341,A51382177_30,-0.041478913,3.9098592,6.8248086
11342,A51382177_3,-0.27150792,2.7173448,8.011066
11343,A51382177_10,0.43490076,5.20296,5.64571
11344,K58114536_1,0.4010167,5.7459884,5.126118
11345,K58114536_30,-0.26956365,2.4388592,8.215171
11346,K58114536_3,-0.26120302,2.9153798,7.689791
11347,K58114536_10,-0.08647624,3.5516343,7.19418
11348,A67516570_1,-0.2204914,3.9177425,6.811135
11349,A67516570_30,-0.069182746,3.8818083,6.923432
11350,A67516570_3,-0.16018589,3.883534,6.9824877
11351,A67516570_10,1.4118924,7.8555117,4.3219566
11352,A33697453_1,-0.4137463,1.7341957,8.831535
11353,A33697453_30,-0.18812476,3.6455734,6.557614
11354,A33697453_3,-0.2846132,2.8315847,7.899445
11355,A33697453_10,0.026061881,3.8495886,6.377167
11356,K71847383_1,0.3257705,5.5568624,5.174223
11357,K71847383_30,0.11110384,5.229713,5.451495
11358,K71847383_3,-0.39104316,2.624255,8.118436
11359,K71847383_10,0.37396607,5.9024773,4.7011695
11360,K09416995_1,0.14745663,4.1812754,6.506749
11361,K09416995_30,-0.2509092,2.7090738,8.16045
11362,K09416995_3,-0.09769666,3.0849397,7.2439504
11363,K09416995_10,-0.2833035,2.447537,8.370922
11364,K72259270_1,0.3935087,5.7324486,4.637264
11365,K72259270_30,0.26961023,4.852168,5.548342
11366,K72259270_3,-0.4100036,3.3674307,6.5982776
11367,K72259270_10,0.32342407,5.5671353,5.1724095
11368,M94983326_1,-0.05877201,3.7232792,7.115489
11369,M94983326_30,-0.2882067,0.65485483,10.188156
11370,M94983326_3,-0.37068486,1.1628697,9.683315
11371,M94983326_10,-0.3533283,1.8754011,8.922436
11372,K88172511_1,0.5296281,5.5549912,5.3434296
11373,K88172511_30,0.08110788,4.108708,6.598755
11374,K88172511_3,0.4324727,4.585606,6.0134544
11375,K88172511_10,-0.35333624,2.1274455,8.60333
11376,A65671304_1,1.2053093,7.2143636,4.453181
11377,A65671304_30,-0.22124167,3.4520109,7.2566333
11378,A65671304_3,0.3717595,3.9344974,6.0463305
11379,A65671304_10,0.7356397,6.581527,4.7041225
11380,K63621616_1,0.5489652,4.27646,5.456958
11381,K63621616_30,5.598777,10.442646,7.4165587
11382,K63621616_3,0.8563013,5.0757565,7.169629
11383,K63621616_10,4.6188626,10.136519,6.846656
11384,K88901363_1,0.9078956,5.0520964,4.539814
11385,K88901363_30,1.7866039,6.9928885,7.4778814
11386,K88901363_3,0.029339058,3.0264366,7.3961334
11387,K88901363_10,1.5404333,6.625787,7.3647466
11388,K79421577_1,0.65269697,5.742926,5.4873395
11389,K79421577_30,3.9531178,11.085194,7.1525784
11390,K79421577_3,0.5949101,5.681935,5.811608
11391,K79421577_10,3.3312964,10.626056,6.478044
11392,A51408905_1,0.86353916,5.5395355,4.8891573
11393,A51408905_30,8.538682,9.95525,8.618327
11394,A51408905_3,0.8419893,5.12441,7.071415
11395,A51408905_10,4.45853,9.986383,6.798408
11396,K34795459_1,2.2589848,8.512623,4.977559
11397,K34795459_30,7.3251824,10.240569,8.213618
11398,K34795459_3,3.0266123,9.169649,5.8101544
11399,K34795459_10,5.1744027,10.362108,7.1414886
11400,K11308385_1,0.9539517,6.191597,4.072674
11401,K11308385_30,9.223859,9.661765,8.83519
11402,K11308385_3,0.29309592,4.2340264,5.6970143
11403,K11308385_10,9.3638525,9.5866165,8.883594
11404,K84764933_1,0.5406468,4.885434,5.5486493
11405,K84764933_30,3.366803,9.68352,6.000177
11406,K84764933_3,1.6551602,7.819936,4.894315
11407,K84764933_10,3.6436908,9.836611,6.2228127
11408,A62116979_1,0.8587246,4.790135,4.440077
11409,A62116979_30,0.35084656,3.4298115,5.8318405
11410,A62116979_3,-0.35122737,0.95075303,9.062999
11411,A62116979_10,0.00085087004,3.4589822,6.149355
11412,K64279815_1,0.29911086,3.1948726,6.1821213
11413,K64279815_30,3.751894,10.927246,6.9127183
11414,K64279815_3,-0.3668617,1.6824533,8.973773
11415,K64279815_10,3.311052,10.58617,6.485823
11416,K90489838_1,-0.5317394,1.7743847,8.122232
11417,K90489838_30,5.502132,10.417068,7.364268
11418,K90489838_3,0.20070359,3.259508,6.257037
11419,K90489838_10,0.89830136,5.8405495,4.8877726
11420,K49505282_1,7.111946,11.004274,6.5996313
11421,K49505282_30,9.842709,9.232425,9.020525
11422,K49505282_3,9.865287,9.218,9.030901
11423,K49505282_10,9.785477,9.27865,9.002919
11424,K88476930_1,-0.29575795,3.544075,6.487554
11425,K88476930_30,5.47959,10.408778,7.361137
11426,K88476930_3,-0.14027704,3.2022634,7.4660134
11427,K88476930_10,2.6270158,8.717347,5.5844164
11428,A13316921_1,-0.18622611,1.7747964,7.558174
11429,A13316921_30,3.4890423,10.793224,6.5905886
11430,A13316921_3,-0.039225858,3.2917368,6.0358777
11431,A13316921_10,1.6264132,8.10917,4.766015
11432,K95274552_1,0.07704042,3.623126,6.03199
11433,K95274552_30,0.62266344,5.062175,4.6156187
11434,K95274552_3,0.6008508,5.799521,4.086496
11435,K95274552_10,1.4306892,7.3591437,3.8694794
11436,K40960290_1,1.4442239,7.979993,4.0495353
11437,K40960290_30,3.0298717,10.306955,5.889939
11438,K40960290_3,0.31577453,5.48107,4.5743194
11439,K40960290_10,0.40389526,5.6358094,4.5527325
11440,K38085884_1,0.6694421,5.53792,4.462158
11441,K38085884_30,0.44747746,3.3130453,6.7339272
11442,K38085884_3,-0.17431758,2.65395,7.729458
11443,K38085884_10,0.45498592,3.3346744,6.3939905
11444,K19627923_1,0.5678419,6.073125,4.224094
11445,K19627923_30,1.6161265,6.6748657,7.6679077
11446,K19627923_3,0.92867,6.338774,4.3279476
11447,K19627923_10,1.0418309,6.523806,4.324393
11448,K41980603_1,5.3476753,11.121735,5.345082
11449,K41980603_30,9.623944,9.423433,8.950071
11450,K41980603_3,8.65363,9.910046,8.648549
11451,K41980603_10,10.0459585,9.096658,9.076016
11452,K29435318_1,3.5124393,9.849666,6.0133057
11453,K29435318_30,9.780503,9.305743,9.010996
11454,K29435318_3,8.7459345,9.853697,8.650398
11455,K29435318_10,9.783924,9.298042,9.007583
11456,K66719016_1,0.48102337,4.3059897,5.42778
11457,K66719016_30,4.0898333,9.823899,6.5301547
11458,K66719016_3,0.70372134,5.6873355,5.4898615
11459,K66719016_10,0.85793376,5.15615,7.0503044
11460,K24938185_1,0.7721511,4.5567136,4.855965
11461,K24938185_30,0.30344513,3.0126321,6.105735
11462,K24938185_3,-0.39795426,1.049739,8.756359
11463,K24938185_10,0.33498758,3.0890827,6.1191587
11464,K44817861_1,0.3729245,4.436398,5.6371684
11465,K44817861_30,4.7790585,10.232378,6.911049
11466,K44817861_3,0.7327951,5.803851,5.320583
11467,K44817861_10,3.1364286,9.269203,5.924557
11468,K32157721_1,0.1790643,2.762021,6.4313745
11469,K32157721_30,4.226809,10.448324,6.0127597
11470,K32157721_3,0.34238008,3.086851,6.0774946
11471,K32157721_10,1.8069859,7.8097405,3.8566942
11472,K26411921_1,0.535877,5.825373,4.875185
11473,K26411921_30,5.7185297,10.484455,7.4725404
11474,K26411921_3,3.1166682,9.165117,5.984117
11475,K26411921_10,4.7910266,10.22726,6.935115
11476,K38746220_1,0.7083836,5.5186872,4.578204
11477,K38746220_30,-0.34751302,1.2177855,8.84563
11478,K38746220_3,-0.25472453,2.4110608,7.6723137
11479,K38746220_10,-0.26773414,1.4583265,8.494747
11480,K60475322_1,0.75927424,5.980029,4.3842673
11481,K60475322_30,3.8236446,10.994194,7.021163
11482,K60475322_3,-0.25736085,3.2798693,6.129843
11483,K60475322_10,1.5686455,8.106549,4.5381007
11484,K20506035_1,-0.1920715,2.6590202,7.7083793
11485,K20506035_30,1.6027457,6.583381,7.918975
11486,K20506035_3,0.39457437,4.3209643,5.521107
11487,K20506035_10,0.8770306,5.531929,6.6438327
11488,K50143166_1,0.8850273,5.4731326,4.717263
11489,K50143166_30,3.0169961,9.078258,6.0352497
11490,K50143166_3,0.024061088,3.7665267,6.2170773
11491,K50143166_10,0.62318027,5.6822324,5.4233456
11492,K77980824_1,0.02159555,3.0796807,7.1447597
11493,K77980824_30,3.9487586,11.063666,7.149988
11494,K77980824_3,0.008711344,4.768345,5.423194
